Vehicle_Type,Speed,Location_Risk,Road_Condition,Speed_Exceeded,Previous_Violations
Heavy Vehicle,6,Medium,Highway,no,0
Auto,93,Low,Highway,yes,2
Heavy Vehicle,50,High,School,no,0
Car,17,High,School,no,3
Heavy Vehicle,32,Medium,Residential,no,3
Car,19,High,School,no,3
Heavy Vehicle,37,Medium,Expressway,no,3
Auto,78,Low,Highway,yes,2
Car,52,Low,Residential,no,0
Car,70,High,Expressway,no,0
Car,89,High,School,yes,2
Heavy Vehicle,104,Low,Residential,yes,2
Bike,85,High,Highway,yes,1
Heavy Vehicle,80,Medium,Expressway,yes,3
Heavy Vehicle,55,Low,Residential,no,0
Auto,14,Medium,Residential,no,1
Bike,119,High,Residential,yes,3
Bike,18,Low,Expressway,no,2
Bike,19,Low,Expressway,no,1
Heavy Vehicle,61,High,School,no,0
Car,63,High,Expressway,no,3
Auto,20,High,School,no,3
Auto,8,High,Highway,no,0
Bike,51,Low,Expressway,no,0
Car,120,Low,Highway,yes,3
Auto,64,Medium,Highway,yes,1
Heavy Vehicle,5,Low,School,no,2
Heavy Vehicle,50,High,School,no,3
Car,45,High,Expressway,no,2
Car,101,High,Expressway,yes,3
Auto,27,Low,Highway,no,1
Bike,97,Low,School,yes,2
Heavy Vehicle,29,Medium,Highway,no,3
Bike,48,Low,Highway,no,1
Heavy Vehicle,81,Low,Highway,yes,2
Heavy Vehicle,51,Low,Highway,no,0
Heavy Vehicle,20,Medium,Highway,no,3
Heavy Vehicle,79,Low,School,yes,0
Car,94,Medium,Highway,yes,0
Auto,35,Low,Expressway,no,3
Car,12,Low,Highway,no,1
Car,96,High,Highway,yes,1
Auto,70,Low,Residential,yes,3
Car,83,High,Highway,yes,2
Car,7,Medium,Expressway,no,1
Auto,100,Low,Highway,yes,2
Car,77,Medium,Expressway,no,3
Bike,103,Low,Expressway,yes,1
Heavy Vehicle,57,Low,Residential,no,1
Heavy Vehicle,21,Medium,Highway,no,1
Bike,27,Medium,Expressway,no,0
Auto,102,High,Highway,yes,1
Bike,50,Medium,Highway,no,3
Bike,55,Medium,Expressway,no,1
Car,34,Medium,Expressway,no,3
Heavy Vehicle,4,Medium,Highway,no,1
Heavy Vehicle,51,Low,Expressway,no,3
Heavy Vehicle,92,Medium,Residential,yes,3
Heavy Vehicle,15,High,School,no,3
Heavy Vehicle,16,High,Highway,no,2
Car,111,High,Residential,yes,2
Heavy Vehicle,26,Medium,School,no,2
Bike,21,High,Expressway,no,3
Car,58,Medium,Residential,no,2
Heavy Vehicle,48,Medium,Residential,no,2
Car,58,Medium,Residential,no,2
Bike,59,Medium,Residential,no,2
Auto,106,Medium,Expressway,yes,3
Heavy Vehicle,7,High,School,no,1
Car,96,High,Residential,yes,3
Auto,26,Medium,Residential,no,2
Car,69,High,Expressway,no,1
Heavy Vehicle,74,Medium,Residential,yes,2
Heavy Vehicle,2,Medium,Residential,no,3
Bike,14,High,Residential,no,0
Auto,4,Low,Expressway,no,3
Bike,25,Low,Residential,no,3
Car,103,Low,Highway,yes,2
Heavy Vehicle,79,High,Residential,yes,3
Auto,32,Medium,Expressway,no,0
Bike,70,Medium,Residential,yes,2
Bike,114,High,School,yes,3
Auto,46,High,Expressway,no,0
Heavy Vehicle,3,High,Residential,no,2
Auto,51,High,School,yes,2
Heavy Vehicle,91,Low,Expressway,yes,1
Bike,2,Low,School,no,3
Car,31,High,Expressway,no,2
Heavy Vehicle,10,Medium,Residential,no,2
Heavy Vehicle,65,Low,Expressway,no,0
Car,41,Low,School,no,2
Heavy Vehicle,25,High,Expressway,no,2
Bike,46,Medium,Highway,no,0
Car,103,High,Expressway,yes,3
Auto,1,Medium,School,no,0
Car,78,Medium,Expressway,no,2
Car,56,Medium,Highway,no,1
Heavy Vehicle,47,Low,School,no,3
Auto,29,High,School,no,1
Auto,19,High,Highway,no,2
Bike,93,Medium,Expressway,yes,0
Auto,61,High,School,yes,2
Heavy Vehicle,31,Medium,School,no,0
Auto,68,Low,School,yes,1
Auto,96,High,School,yes,3
Heavy Vehicle,27,Low,School,no,2
Heavy Vehicle,67,Medium,Expressway,no,2
Auto,12,Medium,Expressway,no,1
Bike,105,Medium,School,yes,3
Auto,55,High,Residential,yes,2
Car,88,Low,Expressway,yes,2
Car,10,Medium,Highway,no,1
Car,80,Medium,Residential,no,0
Heavy Vehicle,15,Medium,Residential,no,0
Heavy Vehicle,93,Low,Residential,yes,1
Heavy Vehicle,94,Medium,School,yes,3
Car,68,Medium,Highway,no,2
Auto,106,Medium,Highway,yes,0
Heavy Vehicle,89,High,Expressway,yes,3
Auto,61,Medium,Highway,yes,0
Heavy Vehicle,57,Medium,Expressway,no,3
Heavy Vehicle,111,Low,Highway,yes,1
Car,68,High,Expressway,no,2
Bike,117,Medium,School,yes,0
Bike,92,High,School,yes,1
Car,102,Low,School,yes,3
Bike,12,Low,Highway,no,3
Heavy Vehicle,25,High,Expressway,no,1
Auto,81,Low,School,yes,3
Auto,23,Low,Residential,no,2
Bike,5,High,Highway,no,3
Bike,28,High,Expressway,no,1
Bike,51,Low,School,no,3
Car,112,Medium,Highway,yes,0
Car,32,Low,School,no,1
Auto,60,Low,Highway,yes,3
Auto,35,Low,Expressway,no,2
Auto,116,Medium,School,yes,1
Heavy Vehicle,12,Low,School,no,2
Auto,11,Medium,Expressway,no,1
Car,36,Medium,School,no,1
Bike,115,Medium,Residential,yes,1
Car,22,High,Expressway,no,3
Bike,7,Medium,School,no,2
Auto,20,Medium,Residential,no,1
Car,85,Low,Highway,yes,0
Bike,82,High,Expressway,yes,0
Car,91,Low,School,yes,2
Heavy Vehicle,10,Low,Residential,no,1
Heavy Vehicle,0,Medium,Highway,no,2
Auto,41,Medium,Expressway,no,2
Heavy Vehicle,23,Medium,School,no,3
Heavy Vehicle,73,Medium,Expressway,yes,1
Bike,68,Low,Expressway,yes,3
Bike,74,Low,Highway,yes,0
Heavy Vehicle,6,Low,Expressway,no,2
Bike,1,High,Highway,no,2
Bike,59,High,Highway,no,2
Heavy Vehicle,27,Low,Expressway,no,3
Car,31,High,Expressway,no,1
Auto,5,High,Expressway,no,2
Heavy Vehicle,103,Medium,Expressway,yes,1
Bike,103,High,Highway,yes,0
Bike,117,Low,Expressway,yes,3
Bike,47,Low,Expressway,no,3
Bike,27,Medium,Highway,no,0
Heavy Vehicle,108,High,Residential,yes,0
Car,78,Medium,Residential,no,1
Bike,85,Low,Highway,yes,1
Bike,77,Low,School,yes,1
Heavy Vehicle,67,Medium,Highway,no,1
Heavy Vehicle,43,High,Highway,no,2
Car,89,Low,Residential,yes,0
Bike,95,High,Expressway,yes,2
Car,40,Medium,School,no,0
Heavy Vehicle,18,Low,Highway,no,2
Auto,42,Low,Residential,no,1
Auto,85,Low,Expressway,yes,2
Bike,30,Medium,Residential,no,0
Car,49,High,School,no,0
Auto,5,Medium,Highway,no,2
Bike,83,High,Residential,yes,2
Bike,71,Medium,Highway,yes,1
Heavy Vehicle,45,Low,School,no,3
Auto,60,Low,Expressway,yes,3
Auto,92,Low,Highway,yes,2
Heavy Vehicle,47,High,Highway,no,2
Bike,81,Low,School,yes,2
Heavy Vehicle,41,Low,Highway,no,2
Heavy Vehicle,12,High,Residential,no,3
Bike,64,Medium,School,yes,3
Auto,61,High,Highway,yes,2
Heavy Vehicle,44,Medium,Expressway,no,1
Auto,66,High,Residential,yes,1
Car,54,Medium,Highway,no,2
Heavy Vehicle,67,High,School,no,0
Heavy Vehicle,31,Low,School,no,0
Car,94,Medium,School,yes,0
Bike,74,Low,School,yes,0
Car,57,High,Residential,no,1
Car,61,Medium,Highway,no,3
Heavy Vehicle,22,Low,School,no,1
Car,33,High,School,no,2
Car,105,Medium,Expressway,yes,3
Bike,22,High,Highway,no,1
Heavy Vehicle,110,Medium,Expressway,yes,1
Car,111,Low,Expressway,yes,1
Auto,115,Medium,Highway,yes,2
Auto,86,Low,Expressway,yes,1
Bike,68,Medium,Residential,yes,0
Auto,50,High,Highway,no,2
Bike,108,Low,School,yes,1
Heavy Vehicle,72,Medium,Residential,yes,3
Bike,60,Low,Expressway,no,2
Heavy Vehicle,101,Medium,School,yes,0
Car,101,High,Residential,yes,2
Bike,103,Medium,School,yes,3
Heavy Vehicle,80,Medium,School,yes,3
Car,74,Low,School,no,2
Car,68,High,Residential,no,1
Bike,102,Low,Highway,yes,2
Heavy Vehicle,3,High,Highway,no,1
Bike,50,High,School,no,3
Bike,24,Medium,Highway,no,0
Heavy Vehicle,1,Low,Highway,no,2
Bike,84,High,Residential,yes,3
Heavy Vehicle,85,High,Highway,yes,3
Heavy Vehicle,0,Low,Residential,no,0
Car,71,Low,Residential,no,0
Bike,24,High,School,no,2
Bike,108,Low,School,yes,3
Car,112,Low,Expressway,yes,2
Auto,100,Medium,School,yes,0
Car,52,High,Residential,no,2
Heavy Vehicle,32,High,School,no,2
Auto,84,High,Highway,yes,0
Heavy Vehicle,93,Low,School,yes,1
Auto,107,Medium,Expressway,yes,0
Auto,102,Low,School,yes,1
